Eyes,Gaze,Head,HeadTilt,Smile,Speech,UpperBody,SmileControl,EkmanExpression,ExperiencedEmotion1,ExperiencedEmotion2,InternalEmotion,ShameAwarenessSituation,ShameAwarenessInterview,DisplayRule,RelationshipIntention,MindednessMean,Gender,Situation,transcript
REST,STRAIGHT_AT_INTERVIEWER,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST
REST,STRAIGHT_AT_INTERVIEWER,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST
REST,STRAIGHT_AT_INTERVIEWER,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST
REST,STRAIGHT_AT_INTERVIEWER,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST
REST,STRAIGHT_AT_INTERVIEWER,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST
REST,STRAIGHT_AT_INTERVIEWER,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST
REST,STRAIGHT_AT_INTERVIEWER,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST
REST,STRAIGHT_AT_INTERVIEWER,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST
REST,STRAIGHT_AT_INTERVIEWER,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST
REST,STRAIGHT_AT_INTERVIEWER,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST
REST,STRAIGHT_AT_INTERVIEWER,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST
REST,REST,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST
REST,DOWN,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST
REST,DOWN,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST
REST,DOWN,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST
REST,DOWN,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST
REST,DOWN,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST
REST,DOWN,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST
REST,DOWN,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST
REST,DOWN,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST
